id,user,contest,place
399,20,1,20
400,20,17,51
401,20,138,52
402,20,143,56
403,21,1,21
404,21,2,121
405,21,3,46
406,21,5,14
407,21,9,44
408,21,14,12
409,21,20,74
410,21,29,103
411,21,33,127
412,21,43,54
413,21,47,141
414,21,49,74
415,21,58,38
416,21,66,36
417,21,138,34
418,22,1,22
419,22,24,198
420,22,43,192
421,22,45,29
422,22,170,71
423,22,199,121
424,22,200,168
425,23,1,23
426,23,7,1
427,24,1,24
428,24,3,134
429,24,5,121
430,24,31,132
431,24,58,116
432,24,70,174
433,24,90,189
434,24,117,119
435,25,1,25
436,25,20,124
437,26,1,26
438,26,2,157
439,26,17,72
440,26,27,151
441,26,29,25
442,26,33,171
443,26,38,7
444,26,41,3
445,26,47,42
446,26,49,33
447,26,53,106
448,26,62,56
449,26,68,29
450,26,70,139
451,26,82,3
452,26,89,168
453,26,90,8
454,26,92,13
455,26,94,49
456,26,99,70
457,26,101,11
458,26,107,69
459,26,112,104
460,26,124,28
461,26,138,92
462,26,144,6
463,26,149,54
464,26,150,39
465,26,152,49
466,26,155,28
467,26,157,45
468,26,159,181
469,26,161,31
470,26,163,30
471,26,165,12
472,26,166,10
473,26,179,36
474,27,1,27
475,27,2,116
476,27,3,4
477,27,5,44
478,27,14,1
479,27,17,12
480,27,20,1
481,27,24,10
482,27,27,9
483,27,29,8
484,27,41,2
485,27,42,2
486,27,43,11
487,27,47,31
488,27,49,103
489,27,51,12
490,27,53,7
491,27,55,34
492,27,58,5
493,27,66,4
494,27,68,8
495,27,70,31
496,27,75,3
497,27,77,27
498,27,83,50
499,27,89,36
500,27,92,18
501,27,103,104
502,27,105,10
503,27,107,114
504,27,112,198
505,27,114,3
506,27,129,75
507,27,131,12
508,27,136,11
509,27,138,25
510,27,144,29
511,27,146,21
512,27,152,9
513,27,157,5
514,27,161,3
515,27,163,1
516,27,167,58
517,27,171,199
518,27,179,147
519,27,181,2
520,27,190,47
521,27,191,9
522,27,197,119
523,27,200,4
524,28,1,28
525,28,2,59
526,28,3,17
527,28,17,55
528,28,31,52
529,28,33,71
530,28,39,42
531,28,47,129
532,28,51,21
533,28,53,76
534,28,70,46
535,28,77,13
536,28,83,121
537,28,85,6
538,28,89,63
539,28,101,46
540,28,109,9
541,28,122,57
542,28,124,61
543,28,131,144
544,28,136,34
545,28,149,37
546,28,150,22
547,28,157,58
548,28,166,29
549,28,167,113
550,28,171,44
551,28,179,190
552,28,190,64
553,28,191,96
554,29,1,29
555,29,2,45
556,29,4,1
557,29,9,23
558,30,1,30
559,30,3,159
560,30,5,195
561,30,14,132
562,30,20,156
563,30,27,182
564,30,33,188
565,30,47,177
566,30,49,156
567,30,51,43
568,30,53,196
569,30,58,26
570,30,62,96
571,30,90,24
572,30,103,183
573,30,112,150
574,30,124,184
575,30,129,66
576,30,136,118
577,30,144,167
578,30,152,110
579,30,155,169
580,30,157,162
581,30,161,81
582,30,163,177
583,30,181,16
584,30,190,190
585,30,193,24
586,30,200,38
587,31,1,30
588,32,1,32
589,33,1,33
590,34,1,34
591,34,17,158
592,34,82,121
593,34,109,71
594,35,1,35
595,36,1,36
596,36,3,116
597,36,79,65
598,37,1,37
599,37,9,174
600,37,14,152
601,37,17,166
602,37,20,143
603,37,23,60
604,37,24,101
605,37,29,140
606,37,42,151
607,37,58,48
608,37,66,159
609,37,70,143
610,37,75,43
611,37,89,147
612,37,90,59
613,37,103,198
614,37,105,33
615,37,112,119
616,37,122,124
617,37,124,128
618,37,136,151
619,37,146,121
620,37,152,23
621,37,155,193
622,37,157,138
623,37,159,151
624,37,161,123
625,37,163,42
626,37,167,191
627,37,179,157
628,37,181,40
629,37,191,160
630,37,193,13
631,37,197,194
632,37,200,23
633,38,1,38
634,38,2,88
635,38,9,37
636,38,14,19
637,38,17,139
638,38,20,23
639,38,23,18
640,38,24,78
641,38,27,100
642,38,29,16
643,38,31,105
644,38,39,189
645,38,41,44
646,38,42,98
647,38,43,53
648,38,47,115
649,38,49,99
650,38,53,141
651,38,58,116
652,38,60,164
653,38,66,8
654,38,75,42
655,38,77,100
656,38,85,28
657,38,89,41
658,38,90,44
659,38,92,84
660,38,97,30
661,38,99,45
662,38,105,22
663,38,109,51
664,38,129,22
665,38,136,23
666,38,163,7
667,38,171,138
668,38,179,101
669,38,181,33
670,38,191,164
671,39,1,39
672,40,1,40
673,40,20,21
674,40,41,57
675,40,42,25
676,40,47,128
677,40,51,45
678,40,75,104
679,40,90,32
680,40,97,38
681,40,101,77
682,40,117,13
683,40,129,37
684,40,136,19
685,40,146,94
686,40,149,42
687,40,150,39
688,40,152,23
689,40,163,45
690,41,1,41
691,41,14,194
692,41,39,65
693,41,43,135
694,41,51,38
695,41,75,81
696,41,79,106
697,41,136,110
698,42,1,42
699,42,5,150
700,42,14,33
701,42,20,126
702,42,33,194
703,42,41,121
704,42,43,130
705,42,55,158
706,42,66,19
707,42,68,114
708,42,97,175
709,42,99,185
710,42,107,111
711,42,110,151
712,42,112,110
713,42,117,26
714,42,129,113
715,42,143,24
716,42,144,181
717,42,152,35
718,42,161,27
719,42,163,110
720,42,167,158
721,42,171,124
722,42,179,61
723,42,181,108
724,42,200,69
725,43,1,42
726,43,3,168
727,44,1,44
728,44,51,76
729,45,1,45
730,45,17,35
731,45,27,132
732,45,33,15
733,45,39,71
734,45,43,29
735,45,49,181
736,45,53,77
737,45,60,64
738,45,85,57
739,45,89,128
740,45,109,29
741,45,112,42
742,45,120,134
743,45,131,99
744,45,138,168
745,46,1,46
746,46,5,82
747,46,14,55
748,46,70,94
749,46,97,164
750,46,140,200
751,46,165,61
752,46,166,66
753,47,1,47
754,47,3,37
755,47,14,171
756,47,17,88
757,47,20,34
758,47,27,15
759,47,41,72
760,47,51,119
761,47,55,170
762,47,58,111
763,47,75,101
764,47,89,156
765,47,90,60
766,47,112,99
767,47,122,133
768,47,146,172
769,47,163,59
770,47,167,58
771,48,1,48
772,48,2,118
773,48,53,133
774,48,62,133
775,48,90,55
776,48,92,77
777,48,97,65
778,48,101,108
779,48,155,73
780,48,171,86
781,48,190,58
782,49,1,49
783,49,31,131
784,49,53,180
785,49,109,62
786,49,110,22
787,49,124,139
788,49,140,61
789,49,143,18
790,49,159,135
791,49,161,89
792,49,163,89
793,49,167,157
794,49,179,122
795,49,181,106
796,49,191,77
797,49,200,72
798,50,1,50
799,50,38,165
800,50,51,108
801,50,55,166
802,50,75,152
803,50,90,117
804,50,107,128
805,50,114,36
806,50,117,24
807,50,159,53
808,50,181,161
809,50,200,105
810,51,1,51
811,51,7,19
812,52,1,52
813,52,14,34
814,53,1,53
815,53,14,39
816,53,20,41
817,53,29,101
818,53,41,46
819,53,105,120
820,53,127,36
821,54,1,54
822,54,16,135
823,54,27,158
824,54,31,43
825,54,33,90
826,54,38,76
827,54,47,196
828,54,53,110
829,54,89,57
830,54,90,130
831,54,99,176
832,54,124,110
833,55,1,55
834,55,2,81
835,55,3,84
836,55,5,38
837,55,17,174
838,55,20,39
839,55,24,117
840,55,105,159
841,55,109,84
842,55,110,102
843,55,117,168
844,55,119,97
845,55,120,162
846,55,124,175
847,55,136,36
848,55,150,56
849,55,152,25
850,55,161,25
851,55,163,162
852,55,181,13
853,55,200,31
854,56,1,56
855,56,5,156
856,56,17,100
857,56,20,65
858,56,23,23
859,56,24,79
860,56,43,49
861,56,49,178
862,56,62,155
863,56,92,97
864,56,97,83
865,56,101,154
866,56,139,54
867,56,140,9
868,57,1,57
869,57,85,170
870,58,1,58
871,58,17,91
872,58,29,149
873,58,83,71
874,59,1,59
875,59,2,161
876,59,3,52
877,59,14,39
878,59,49,88
879,59,53,121
880,59,55,183
881,59,68,77
882,59,70,139
883,59,75,63
884,59,77,103
885,59,83,187
886,59,99,141
887,59,103,197
888,59,136,21
889,59,143,109
890,59,152,76
891,59,163,36
892,59,200,25
893,60,1,60
894,60,24,168
895,60,27,174
896,61,1,61
897,62,1,62
898,62,14,111
899,62,49,93
900,62,129,180
901,62,143,151
902,63,1,63
903,63,2,117
904,63,3,132
905,63,43,152
906,63,53,184
907,63,55,137
908,64,1,64
909,64,181,15
910,64,190,144
911,65,1,65
912,65,20,136
913,66,1,66
914,66,3,31
915,66,17,148
916,66,20,81
917,66,29,65
918,66,33,101
919,66,39,9
920,66,47,159
921,66,49,149
922,66,53,194
923,66,55,174
924,66,68,92
925,66,70,22
926,66,90,12
927,66,99,91
928,66,105,42
929,66,117,80
930,66,131,75
931,66,146,90
932,66,150,56
933,66,155,65
934,66,190,102
935,66,191,127
936,66,197,57
937,67,1,66
938,67,17,131
939,67,159,157
940,67,179,58
941,68,1,68
942,68,7,55
943,68,49,143
944,68,83,94
945,68,99,103
946,69,1,69
947,69,16,136
948,69,42,120
949,69,48,25
950,69,58,180
951,69,79,60
952,69,90,177
953,69,107,149
954,69,111,45
955,69,122,69
956,69,136,101
957,69,143,46
958,69,149,98
959,69,150,138
960,69,152,126
961,69,161,79
962,69,165,12
963,69,166,10
964,69,170,187
965,69,199,143
966,70,1,70
967,70,5,147
968,70,140,67
969,70,141,55
970,71,1,71
971,71,9,122
972,71,47,130
973,71,55,63
974,71,62,52
975,71,85,36
976,71,99,63
977,71,112,139
978,72,1,72
979,72,3,148
980,72,5,68
981,72,9,65
982,72,39,89
983,72,167,86
984,72,179,68
985,73,1,73
986,74,1,74
987,74,3,184
988,74,5,105
989,74,14,27
990,74,20,21
991,74,24,97
992,74,27,140
993,74,41,185
994,74,42,34
995,74,62,140
996,74,70,18
997,74,77,125
998,74,83,174
999,74,92,73
1000,74,97,125
1001,74,129,174
1002,74,146,98
1003,74,152,75
1004,74,167,117
1005,74,197,61
1006,75,1,75
1007,75,31,175
1008,76,1,76
1009,76,4,34
1010,77,1,77
1011,77,2,94
1012,77,33,177
1013,77,42,61
1014,77,55,127
1015,77,68,104
1016,77,97,91
1017,77,143,119
1018,77,163,76
1019,77,166,83
1020,77,193,61
1021,78,1,78
1022,78,3,104
1023,78,26,107
1024,78,58,177
1025,78,64,16
1026,78,90,147
1027,78,92,153
1028,79,1,78
1029,79,83,77
1030,79,89,190
